\supdsub ⫘
\mscrl \U1d4c1
\blacklozenge ⧫
\mscrj 𝒿
\mscri 𝒾
\mscrh 𝒽
\mscrg ℊ
\mscrf 𝒻
\mscre ℯ
\mscrd 𝒹
\mscrc 𝒸
\Lleftarrow ⇚
\mscra 𝒶
