\u00302           ◌̂            \hat                                         COMBINING CIRCUMFLEX ACCENT / NON-SPACING CIRCUMFLEX
\u00303           ◌̃            \tilde                                       COMBINING TILDE / NON-SPACING TILDE
\u00304           ◌̄            \bar                                         COMBINING MACRON / NON-SPACING MACRON
\u00305           ◌̅            \overbar                                     COMBINING OVERLINE / NON-SPACING OVERSCORE
\u00306           ◌̆            \breve                                       COMBINING BREVE / NON-SPACING BREVE
\u00307           ◌̇            \dot                                         COMBINING DOT ABOVE / NON-SPACING DOT ABOVE
\u00308           ◌̈            \ddot                                        COMBINING DIAERESIS / NON-SPACING DIAERESIS
\u00309           ◌̉            \ovhook                                      COMBINING HOOK ABOVE / NON-SPACING HOOK ABOVE
\u0030A           ◌̊            \ocirc                                       COMBINING RING ABOVE / NON-SPACING RING ABOVE
\u0030B           ◌̋            \H                                           COMBINING DOUBLE ACUTE ACCENT / NON-SPACING DOUBLE ACUTE
\u0030C           ◌̌            \check                                       COMBINING CARON / NON-SPACING HACEK
\u00310           ◌̐            \candra                                      COMBINING CANDRABINDU / NON-SPACING CANDRABINDU
\u00312           ◌̒            \oturnedcomma                                COMBINING TURNED COMMA ABOVE / NON-SPACING TURNED COMMA ABOVE
\u00315           ◌̕            \ocommatopright                              COMBINING COMMA ABOVE RIGHT / NON-SPACING COMMA ABOVE RIGHT
\u0031A           ◌̚            \droang                                      COMBINING LEFT ANGLE ABOVE / NON-SPACING LEFT ANGLE ABOVE
\u00321           ◌̡            \Elzpalh                                     COMBINING PALATALIZED HOOK BELOW / NON-SPACING PALATALIZED HOOK BELOW
\u00322           ◌̢            \Elzrh                                       COMBINING RETROFLEX HOOK BELOW / NON-SPACING RETROFLEX HOOK BELOW
\u00327           ◌̧            \c                                           COMBINING CEDILLA / NON-SPACING CEDILLA
\u00328           ◌̨            \k                                           COMBINING OGONEK / NON-SPACING OGONEK
\u0032A           ◌̪            \Elzsbbrg                                    COMBINING BRIDGE BELOW / NON-SPACING BRIDGE BELOW
\u00330           ◌̰            \wideutilde                                  COMBINING TILDE BELOW / NON-SPACING TILDE BELOW
\u00331           ◌̱            \underbar                                    COMBINING MACRON BELOW / NON-SPACING MACRON BELOW
\u00335           ◌̵            \Elzxl                                       COMBINING SHORT STROKE OVERLAY / NON-SPACING SHORT BAR OVERLAY
\u00336           ◌̶            \Elzbar, \sout                               COMBINING LONG STROKE OVERLAY / NON-SPACING LONG BAR OVERLAY
\u00338           ◌̸            \not                                         COMBINING LONG SOLIDUS OVERLAY / NON-SPACING LONG SLASH OVERLAY
\u00391           Α            \Alpha                                       GREEK CAPITAL LETTER ALPHA
\u00392           Β            \Beta                                        GREEK CAPITAL LETTER BETA
\u00393           Γ            \Gamma                                       GREEK CAPITAL LETTER GAMMA
\u00394           Δ            \Delta                                       GREEK CAPITAL LETTER DELTA
\u00395           Ε            \Epsilon                                     GREEK CAPITAL LETTER EPSILON
\u00396           Ζ            \Zeta                                        GREEK CAPITAL LETTER ZETA
\u00397           Η            \Eta                                         GREEK CAPITAL LETTER ETA
\u00398           Θ            \Theta                                       GREEK CAPITAL LETTER THETA
\u00399           Ι            \Iota                                        GREEK CAPITAL LETTER IOTA
\u0039A           Κ            \Kappa                                       GREEK CAPITAL LETTER KAPPA
\u0039B           Λ            \Lambda                                      GREEK CAPITAL LETTER LAMDA / GREEK CAPITAL LETTER LAMBDA
\u0039C           Μ            \upMu                                        GREEK CAPITAL LETTER MU
\u0039D           Ν            \upNu                                        GREEK CAPITAL LETTER NU
\u0039E           Ξ            \Xi                                          GREEK CAPITAL LETTER XI
